"jsonNum","sloc","readability","mcCabe","revisionNumber"
"1","6","0.28481513261795044","1","5"
"10","3","0.813628077507019","1","2"
"100","8","0.0027716215699911118","2","3"
"1000","3","0.7768948078155518","1","1"
"10000","3","0.8764957189559937","1","1"
"10001","3","0.9200298190116882","1","1"
"10002","3","0.9142498970031738","1","1"
"10003","3","0.7655900120735168","1","3"
"10004","3","0.7987532019615173","1","1"
"10005","3","0.9331037402153015","1","1"
"10006","3","0.7573614120483398","1","3"
"10007","3","0.9390755295753479","1","4"
"10008","3","0.6178721189498901","1","10"
"10009","3","0.8365193009376526","1","1"
"1001","3","0.9338539242744446","1","1"
"10010","3","0.8363604545593262","1","1"
"10011","3","0.9218760132789612","1","1"
"10012","3","0.9293341040611267","1","2"
"10013","3","0.9293341040611267","1","2"
"10014","3","0.9399533867835999","1","1"
"10015","3","0.8019241094589233","1","1"
"10016","3","0.9448975920677185","1","1"
"10017","8","0.4934559762477875","2","1"
"10018","3","0.8351535201072693","1","1"
"10019","3","0.8943328857421875","1","1"
"1002","3","0.8000084757804871","1","1"
"10020","3","0.8066163063049316","1","1"
"10021","3","0.8758294582366943","1","1"
"10022","3","0.9331037402153015","1","1"
"10023","7","0.11341865360736847","2","3"
"10024","4","0.8934903740882874","1","1"
"10025","3","0.5810670256614685","1","1"
"10026","3","0.7905733585357666","1","2"
"10027","3","0.540871798992157","1","2"
"10028","3","0.9366147518157959","1","1"
"10029","3","0.9345962405204773","1","1"
"1003","3","0.9218760132789612","1","1"
"10030","3","0.7340831160545349","1","1"
"10031","3","0.739004373550415","1","1"
"10032","3","0.6772118210792542","1","1"
"10033","3","0.8026294112205505","1","3"
"10034","3","0.9448975920677185","1","3"
"10035","3","0.9053619503974915","1","3"
"10036","3","0.9424753189086914","1","3"
"10037","3","0.9223746657371521","1","1"
"10038","3","0.9259295463562012","1","4"
"10039","3","0.9241712093353271","1","1"
"1004","3","0.7562679052352905","1","1"
"10040","12","1.899492199299857E-4","3","2"
"10041","3","0.001295096823014319","1","1"
"10042","3","0.9338539242744446","1","1"
"10043","3","0.9241712093353271","1","1"
"10044","3","0.9309816360473633","1","1"
"10045","3","0.9399533867835999","1","3"
"1005","3","0.9223746657371521","1","4"
"1006","3","0.7664604187011719","1","4"
"10064","3","0.9271828532218933","1","1"
"10065","3","0.9523378610610962","1","1"
"10066","2","0.9393191337585449","1","1"
"10067","2","0.9393191337585449","1","2"
"10068","2","0.9393191337585449","1","3"
"10069","3","0.9557477831840515","1","1"
"1007","3","0.9122405648231506","1","1"
"10070","2","0.9393191337585449","1","2"
"10071","2","0.9393191337585449","1","2"
"10072","2","0.9393191337585449","1","2"
"10073","2","0.9393191337585449","1","2"
"10074","2","0.9393191337585449","1","1"
"10075","2","0.9393191337585449","1","2"
"10076","2","0.9393191337585449","1","4"
"10077","2","0.9393191337585449","1","1"
"10078","2","0.9393191337585449","1","2"
"10079","2","0.9393191337585449","1","1"
"1008","3","0.7279508113861084","1","1"
"10080","2","0.9393191337585449","1","2"
"10081","2","0.9393191337585449","1","3"
"10082","3","0.7724252343177795","1","3"
"10083","3","0.9279702305793762","1","3"
"10084","3","0.9279702305793762","1","3"
"10085","3","0.8398987650871277","1","3"
"10086","3","0.8363604545593262","1","3"
"10087","3","0.8835325241088867","1","7"
"10088","3","0.9785904288291931","1","1"
"10089","3","0.9760082960128784","1","1"
"1009","4","0.9385838508605957","1","2"
"10090","3","0.9760082960128784","1","1"
"10091","3","0.9743157029151917","1","1"
"10092","6","0.5056159496307373","2","1"
"10093","3","0.8945807814598083","1","1"
"10094","3","0.9488099813461304","1","1"
"10095","4","0.6358200311660767","1","1"
"10096","39","0.0","5","2"
"10097","46","0.0","5","2"
"10098","25","0.0","4","4"
"10099","6","0.018749546259641647","2","1"
"101","3","0.0020603234879672527","1","2"
"10101","9","0.4655148386955261","1","1"
"10102","3","0.16022324562072754","1","3"
"10103","7","0.0","2","1"
"10104","7","0.0017587486654520035","1","7"
"10105","3","0.9418168663978577","1","3"
"10106","3","0.9276502728462219","1","1"
"10107","3","0.7580914497375488","1","4"
"10108","3","0.7558373212814331","1","2"
"10109","3","0.7399356365203857","1","2"
"1011","14","0.03332715854048729","5","3"
"10110","3","0.781724750995636","1","4"
"10111","3","0.7888473272323608","1","2"
"10112","3","0.7717251181602478","1","1"
"10113","3","0.7799804210662842","1","4"
"10114","3","0.7942148447036743","1","3"
"10115","3","0.7851561307907104","1","3"
"10116","3","0.7634255290031433","1","3"
"10117","3","0.7263106107711792","1","3"
"10118","3","0.7582233548164368","1","3"
"10119","3","0.7836199998855591","1","1"
"1012","14","0.03332715854048729","5","3"
"10120","3","0.7768470644950867","1","1"
"10121","3","0.7701210975646973","1","3"
"10122","3","0.781724750995636","1","3"
"10123","3","0.7749095559120178","1","3"
"10124","3","0.7801709175109863","1","3"
"10125","3","0.7863385677337646","1","3"
"10126","3","0.7789639830589294","1","3"
"10127","3","0.8056946396827698","1","3"
"10128","3","0.7870004177093506","1","1"
"10129","3","0.7586238384246826","1","1"
"1013","27","0.0","4","1"
"10130","3","0.7674082517623901","1","1"
"10131","3","0.7655364274978638","1","2"
"10132","3","0.7552818059921265","1","2"
"10133","3","0.7552818059921265","1","2"
"10134","3","0.7507545948028564","1","3"
"10135","3","0.8378306031227112","1","4"
"10136","3","0.8354217410087585","1","4"
"10137","3","0.7934464812278748","1","4"
"10138","3","0.7681022882461548","1","1"
"10139","3","0.7774035930633545","1","1"
"1014","4","0.6487427353858948","1","1"
"10140","6","0.40117841958999634","1","1"
"10141","6","0.3320826590061188","1","1"
"10142","3","0.7806364297866821","1","1"
"10143","3","0.7741369009017944","1","1"
"10144","3","0.7815352082252502","1","1"
"10145","3","0.7782149910926819","1","1"
"10146","3","0.7790242433547974","1","1"
"10147","3","0.7596346139907837","1","1"
"10148","6","0.4645704925060272","1","1"
"10149","3","0.7741369009017944","1","1"
"1015","6","0.27067962288856506","2","1"
"10150","3","0.2606410086154938","1","1"
"10151","3","0.7840847969055176","1","1"
"10152","6","0.43871554732322693","1","1"
"10153","6","0.03243621811270714","1","1"
"10154","3","0.7706016302108765","1","1"
"10155","3","0.7524625658988953","1","1"
"10156","3","0.7638946771621704","1","1"
"10157","3","0.7647404074668884","1","1"
"10158","3","0.7782149910926819","1","1"
"10159","3","0.7733149528503418","1","1"
"1016","35","0.0","10","1"
"10160","3","0.7733149528503418","1","1"
"10161","3","0.7630468606948853","1","1"
"10162","3","0.5362475514411926","1","2"
"10163","3","0.7727289199829102","1","1"
"10164","3","0.772490918636322","1","1"
"10165","3","0.762196958065033","1","1"
"10166","3","0.7808035612106323","1","1"
"10167","3","0.7719032168388367","1","1"
"10168","3","0.7480642795562744","1","1"
"10169","3","0.7480642795562744","1","1"
"1017","26","0.008123126812279224","7","1"
"10170","3","0.7869582772254944","1","1"
"10171","3","0.7685799598693848","1","1"
"10172","3","0.7395746111869812","1","1"
"10173","3","0.7840847969055176","1","1"
"10174","3","0.7736074924468994","1","1"
"10175","3","0.7687995433807373","1","1"
"10176","3","0.7596755027770996","1","1"
"10177","3","0.7506938576698303","1","1"
"10178","3","0.7557587027549744","1","1"
"10179","3","0.0","1","1"
"1018","13","0.05380440875887871","4","5"
"10180","3","0.798114001750946","1","1"
"10181","3","0.7790242433547974","1","1"
"10182","3","0.7827320694923401","1","1"
"10183","3","0.7701210975646973","1","1"
"10184","3","0.781724750995636","1","1"
"10185","3","0.7888473272323608","1","1"
"10186","3","0.7695594429969788","1","1"
"10187","3","0.7764899134635925","1","1"
"10188","3","0.7796268463134766","1","1"
"10189","3","0.7780623435974121","1","1"
"1019","28","3.0840784893371165E-4","4","2"
"10190","3","0.7769657373428345","1","1"
"10191","20","0.0","3","2"
"10192","12","0.01295335404574871","3","2"
"10193","11","0.023196473717689514","3","2"
"102","4","0.1120954304933548","1","2"
"1020","41","0.0","9","2"
"10208","3","0.9418168663978577","1","1"
"10209","3","0.883912980556488","1","1"
"1021","13","0.05380440875887871","4","5"
"10210","7","1.0171868052566424E-4","1","4"
"10211","5","0.5689629316329956","2","3"
"10212","5","0.34203171730041504","1","2"
"10213","3","0.6120163202285767","1","2"
"10214","5","0.03395727276802063","1","3"
"10215","3","0.851206362247467","1","1"
"10216","9","0.13795216381549835","3","5"
"10217","4","0.28149649500846863","1","6"
"10218","3","0.7864240407943726","1","4"
"10219","16","0.04032454639673233","4","2"
"1022","27","1.2362640700303018E-4","4","3"
"10220","9","0.13790608942508698","1","6"
"10221","6","0.5528278350830078","1","3"
"10222","17","0.2393796592950821","1","6"
"10223","5","0.346395343542099","1","5"
"10224","7","0.028997328132390976","1","7"
"10225","6","0.5528278350830078","1","3"
"10226","43","0.0","5","6"
"10227","3","0.6334841847419739","1","4"
"10228","3","0.9399533867835999","1","6"
"10229","3","0.8879091739654541","1","1"
"1023","42","0.0","9","3"
"10230","3","0.8919546604156494","1","5"
"10231","3","0.7997325658798218","1","1"
"10232","3","0.9103869199752808","1","1"
"1024","6","0.5835270881652832","2","4"
"1025","3","0.9472235441207886","1","3"
"1026","3","0.8963050842285156","1","3"
"10260","3","0.9103869199752808","1","1"
"10261","3","0.9995887279510498","1","4"
"10263","3","0.9418168663978577","1","1"
"10264","3","0.8228633403778076","1","1"
"10265","4","0.8229292631149292","1","1"
"10266","4","0.8408646583557129","1","1"
"10267","4","0.8173031210899353","1","1"
"10268","4","0.8320879936218262","1","1"
"10269","4","0.8475914001464844","1","1"
"1027","3","0.8963050842285156","1","3"
"10270","4","0.8398316502571106","1","1"
"10271","4","0.7576026320457458","1","1"
"10272","4","0.8320879936218262","1","1"
"10273","4","0.8119988441467285","1","1"
"10274","4","0.8078835010528564","1","1"
"10275","4","0.8540831804275513","1","1"
"10276","4","0.8595600724220276","1","1"
"10277","4","0.8603439927101135","1","1"
"10278","4","0.8320879936218262","1","1"
"10279","4","0.7987738251686096","1","1"
"1028","3","0.9418168663978577","1","3"
"10280","4","0.8173031210899353","1","1"
"10281","4","0.8315006494522095","1","1"
"10282","4","0.8315006494522095","1","1"
"10283","4","0.8078835010528564","1","1"
"10284","4","0.8041631579399109","1","1"
"10285","14","0.6823818683624268","4","1"
"10286","20","4.2798437061719596E-4","6","1"
"10287","20","4.3283047853037715E-4","6","1"
"10288","13","0.008102056570351124","4","3"
"10289","13","0.00619601272046566","4","2"
"1029","3","0.9358937740325928","1","3"
"10290","13","0.08216497302055359","4","2"
"10291","15","1.4524579455610365E-4","4","5"
"10292","21","0.32463550567626953","7","2"
"10293","21","0.32463550567626953","7","2"
"10294","21","0.32463550567626953","7","2"
"10295","3","0.6667447090148926","1","5"
"10296","3","0.6468935012817383","1","5"
"10297","3","0.9442651867866516","1","6"
"10298","16","0.0173198189586401","3","5"
"10299","15","6.242334493435919E-4","3","4"
"103","4","0.2936583459377289","1","3"
"1030","3","0.0014044911367818713","1","4"
"10300","26","5.298149189911783E-4","3","7"
"10301","16","0.08962525427341461","4","6"
"10302","3","0.8171789646148682","1","1"
"10303","12","0.10952254384756088","2","4"
"10304","3","0.6213349103927612","1","2"
"10305","3","0.8134264945983887","1","2"
"10306","3","0.7952871322631836","1","5"
"10307","3","0.8134264945983887","1","1"
"10308","3","0.8091316819190979","1","1"
"10309","4","0.05204484611749649","1","2"
"1031","19","0.003253343515098095","6","5"
"10310","3","0.6103283166885376","1","1"
"10311","3","0.8052533864974976","1","2"
"10312","3","0.7865278720855713","1","5"
"10313","3","0.8052533864974976","1","1"
"10314","3","0.5923465490341187","1","1"
"10315","3","0.6107025742530823","1","1"
"10316","8","0.2046678066253662","1","5"
"10317","8","0.5800299644470215","2","2"
"10318","4","0.2655302584171295","1","4"
"10319","7","0.004955916199833155","1","4"
"1032","21","0.00848773866891861","3","3"
"10320","13","0.012274336069822311","3","11"
"10321","3","0.045436035841703415","1","2"
"10322","3","0.42980387806892395","1","1"
"10323","3","0.0827011913061142","1","5"
"10324","3","0.08766766637563705","1","5"
"10325","13","0.11769237369298935","2","2"
"10326","4","0.4163191020488739","1","1"
"10327","5","0.0015347012085840106","1","1"
"10328","35","0.0","3","7"
"10329","8","0.5149717926979065","1","1"
"1033","3","0.12456603348255157","1","4"
"1034","3","0.12292762100696564","1","4"
"10348","3","0.7908081412315369","1","1"
"10349","9","0.2893385887145996","2","1"
"1035","3","0.7614099979400635","1","2"
"10350","3","0.09297358989715576","1","2"
"10351","16","0.17617742717266083","5","1"
"10353","3","0.9259295463562012","1","2"
"10354","9","0.3490375280380249","2","1"
"10355","12","0.004035958554595709","2","2"
"10356","8","0.15521864593029022","2","1"
"10357","17","0.18658363819122314","3","5"
"10358","8","0.18354302644729614","2","2"
"10359","8","0.2903795540332794","2","1"
"1036","3","0.9147927165031433","1","1"
"10361","4","0.9459911584854126","1","2"
"10362","13","0.22490203380584717","2","7"
"10363","3","0.7916650772094727","1","1"
"10364","3","0.80832439661026","1","1"
"10365","3","0.7724252343177795","1","1"
"10366","3","0.9279702305793762","1","1"
"10367","3","0.9279702305793762","1","1"
"10368","3","0.8398987650871277","1","1"
"10369","3","0.8363604545593262","1","1"
"1037","3","0.9338539242744446","1","3"
"10370","3","0.8283141255378723","1","1"
